Pose,x_diff[mm],y_diff[mm],z_diff[mm],,
y28x53,-1.38674034454,1.16078999629,-0.548901844367,,
y28x62,-1.81939557799,2.99082234771,-0.329137688132,,
y16x65,-0.588659443491,4.47979598382,-0.101697836518,,
y16x38,-2.17766711065,0.585672973235,-0.109175951518,,
y28x65,-0.302041871867,3.89172850115,0.716811601689,,
y19x65,-1.80160696536,3.61297405682,-0.994807770207,,
y22x53,0.187646930513,3.50188409208,0.565533952272,,
y22x50,0.137351204681,1.64327079004,0.287998206628,,
y22x56,-2.15216771205,1.29566725406,-0.589433226875,,
y19x62,-0.964951120556,4.52119452159,-0.435022420816,,
y19x47,-1.37396530789,3.16782290883,-0.423382613729,,
y10x62,-3.16269128469,2.35402969385,-2.11067523979,,
y19x44,-2.67478548673,2.16971686976,-0.865308315288,,
y19x41,-2.51260598419,-0.846943414102,-0.186389995571,,
y22x38,-2.06926026393,1.72951187265,-0.927308354218,,
y10x38,-3.02132835276,-1.11276087163,-0.678701899592,,
y25x65,-1.21110878673,2.33045593492,-0.512332026366,,
y13x38,-1.81503252437,-1.13406648127,-0.236680390563,,
y25x38,-2.47179571961,1.87356305142,-0.426809745397,,
y10x59,0.979277033117,2.54024354945,0.461467582396,,
y25x47,-2.54123112777,3.05051129505,-0.916550741968,,
y10x56,-1.69038192038,4.90506489383,-1.34333536964,,
y22x59,-2.52233462467,3.82679369752,-0.660050144935,,
y10x53,1.00092433171,2.16476670689,0.52709449872,,
y10x50,-0.286322464485,-1.15020125741,0.19591724086,,
y16x59,-1.12811459748,0.767215539662,-0.0394367598812,,
y28x56,-1.8115021593,1.85752625675,-0.227922509853,,
y28x50,-0.945279705746,0.94420303984,-0.310200920532,,
y13x59,-1.86465180425,0.527831166888,-0.513510432831,,
y13x56,-1.43784974051,0.461382716369,-0.533555406155,,
y16x50,-2.09511554897,1.03316629168,-0.779453613303,,
y16x53,-2.01806225466,-0.430602124664,-0.966245327142,,
y13x53,-2.2007264736,0.13192065209,-0.769160246952,,
y13x50,-0.260829134688,-0.744488880659,0.444088614741,,
y16x56,1.35769572944,3.3967456543,1.31770534825,,
Pose,x_diff[mm],y_diff[mm],z_diff[mm],,
